tier,total_vol,best_vol,best_keyword,slug,url,vol_1,vol_2,keyword_1,keyword_2,likely_sports
1,45200,33100,australia vs south africa,australia-vs-south-africa,https://tabiji.ai/compare/australia-vs-south-africa/,33100,12100,australia vs south africa,south africa vs australia,yes
1,45200,33100,bolivia vs brazil,bolivia-vs-brazil,https://tabiji.ai/compare/bolivia-vs-brazil/,33100,12100,bolivia vs brazil,brazil vs bolivia,yes
1,45200,27100,canada vs guatemala,canada-vs-guatemala,https://tabiji.ai/compare/canada-vs-guatemala/,27100,18100,canada vs guatemala,guatemala vs canada,
1,45200,33100,germany vs france,france-vs-germany,https://tabiji.ai/compare/france-vs-germany/,12100,33100,france vs germany,germany vs france,yes
1,43400,40500,mexico vs south korea,south-korea-vs-mexico,https://tabiji.ai/compare/south-korea-vs-mexico/,2900,40500,south korea vs mexico,mexico vs south korea,yes
1,41900,27100,portugal vs hungary,hungary-vs-portugal,https://tabiji.ai/compare/hungary-vs-portugal/,14800,27100,hungary vs portugal,portugal vs hungary,yes
1,40980,40500,mexico vs switzerland,mexico-vs-switzerland,https://tabiji.ai/compare/mexico-vs-switzerland/,40500,480,mexico vs switzerland,switzerland vs mexico,yes
1,40300,22200,norway vs italy,italy-vs-norway,https://tabiji.ai/compare/italy-vs-norway/,18100,22200,italy vs norway,norway vs italy,yes
1,37500,33100,colombia vs bolivia,bolivia-vs-colombia,https://tabiji.ai/compare/bolivia-vs-colombia/,4400,33100,bolivia vs colombia,colombia vs bolivia,yes
1,37500,33100,colombia vs canada,canada-vs-colombia,https://tabiji.ai/compare/canada-vs-colombia/,4400,33100,canada vs colombia,colombia vs canada,
1,36000,33100,mexico vs turkey,mexico-vs-turkey,https://tabiji.ai/compare/mexico-vs-turkey/,33100,2900,mexico vs turkey,turkey vs mexico,yes
1,34300,22200,peru vs ecuador,peru-vs-ecuador,https://tabiji.ai/compare/peru-vs-ecuador/,22200,12100,peru vs ecuador,ecuador vs peru,yes
1,33700,27100,colombia vs peru,colombia-vs-peru,https://tabiji.ai/compare/colombia-vs-peru/,27100,6600,colombia vs peru,peru vs colombia,yes
1,32900,18100,germany vs italy,germany-vs-italy,https://tabiji.ai/compare/germany-vs-italy/,18100,14800,germany vs italy,italy vs germany,yes
1,32900,18100,panama vs honduras,honduras-vs-panama,https://tabiji.ai/compare/honduras-vs-panama/,14800,18100,honduras vs panama,panama vs honduras,yes
1,31500,27100,usa vs uruguay,uruguay-vs-usa,https://tabiji.ai/compare/uruguay-vs-usa/,4400,27100,uruguay vs usa,usa vs uruguay,yes
1,30300,22200,mexico vs argentina,argentina-vs-mexico,https://tabiji.ai/compare/argentina-vs-mexico/,8100,22200,argentina vs mexico,mexico vs argentina,yes
1,30300,22200,puerto rico vs argentina,argentina-vs-puerto-rico,https://tabiji.ai/compare/argentina-vs-puerto-rico/,8100,22200,argentina vs puerto rico,puerto rico vs argentina,
1,30300,22200,japan vs brazil,japan-vs-brazil,https://tabiji.ai/compare/japan-vs-brazil/,22200,8100,japan vs brazil,brazil vs japan,yes
1,30200,18100,usa vs ecuador,ecuador-vs-usa,https://tabiji.ai/compare/ecuador-vs-usa/,12100,18100,ecuador vs usa,usa vs ecuador,yes
1,30200,18100,england vs spain,england-vs-spain,https://tabiji.ai/compare/england-vs-spain/,18100,12100,england vs spain,spain vs england,yes
1,29000,27100,usa vs japan,japan-vs-usa,https://tabiji.ai/compare/japan-vs-usa/,1900,27100,japan vs usa,usa vs japan,yes
1,28000,18100,chile vs bolivia,bolivia-vs-chile,https://tabiji.ai/compare/bolivia-vs-chile/,9900,18100,bolivia vs chile,chile vs bolivia,yes
1,28000,18100,spain vs bulgaria,bulgaria-vs-spain,https://tabiji.ai/compare/bulgaria-vs-spain/,9900,18100,bulgaria vs spain,spain vs bulgaria,yes
1,28000,18100,spain vs georgia,georgia-vs-spain,https://tabiji.ai/compare/georgia-vs-spain/,9900,18100,georgia vs spain,spain vs georgia,yes
1,26900,14800,chile vs ecuador,chile-vs-ecuador,https://tabiji.ai/compare/chile-vs-ecuador/,14800,12100,chile vs ecuador,ecuador vs chile,yes
1,26900,14800,jamaica vs guatemala,guatemala-vs-jamaica,https://tabiji.ai/compare/guatemala-vs-jamaica/,12100,14800,guatemala vs jamaica,jamaica vs guatemala,yes
1,25800,22200,bolivia vs uruguay,bolivia-vs-uruguay,https://tabiji.ai/compare/bolivia-vs-uruguay/,22200,3600,bolivia vs uruguay,uruguay vs bolivia,yes
1,24700,14800,england vs serbia,england-vs-serbia,https://tabiji.ai/compare/england-vs-serbia/,14800,9900,england vs serbia,serbia vs england,yes
1,24700,14800,england vs south africa,england-vs-south-africa,https://tabiji.ai/compare/england-vs-south-africa/,14800,9900,england vs south africa,south africa vs england,yes
1,24700,14800,italy vs israel,israel-vs-italy,https://tabiji.ai/compare/israel-vs-italy/,9900,14800,israel vs italy,italy vs israel,yes
1,23500,22200,usa vs south korea,south-korea-vs-usa,https://tabiji.ai/compare/south-korea-vs-usa/,1300,22200,south korea vs usa,usa vs south korea,yes
1,22900,14800,england vs albania,albania-vs-england,https://tabiji.ai/compare/albania-vs-england/,8100,14800,albania vs england,england vs albania,yes
1,22000,12100,costa rica vs nicaragua,nicaragua-vs-costa-rica,https://tabiji.ai/compare/nicaragua-vs-costa-rica/,9900,12100,nicaragua vs costa rica,costa rica vs nicaragua,yes
1,21400,14800,france vs iceland,france-vs-iceland,https://tabiji.ai/compare/france-vs-iceland/,14800,6600,france vs iceland,iceland vs france,yes
1,20200,14800,new zealand vs south africa,new-zealand-vs-south-africa,https://tabiji.ai/compare/new-zealand-vs-south-africa/,14800,5400,new zealand vs south africa,south africa vs new zealand,yes
1,19200,14800,south korea vs brazil,brazil-vs-south-korea,https://tabiji.ai/compare/brazil-vs-south-korea/,4400,14800,brazil vs south korea,south korea vs brazil,yes
1,19200,14800,canada vs honduras,canada-vs-honduras,https://tabiji.ai/compare/canada-vs-honduras/,14800,4400,canada vs honduras,honduras vs canada,
1,18820,18100,brazil vs senegal,brazil-vs-senegal,https://tabiji.ai/compare/brazil-vs-senegal/,18100,720,brazil vs senegal,senegal vs brazil,yes
1,18700,12100,england vs latvia,england-vs-latvia,https://tabiji.ai/compare/england-vs-latvia/,12100,6600,england vs latvia,latvia vs england,yes
1,18690,18100,usa vs australia,australia-vs-usa,https://tabiji.ai/compare/australia-vs-usa/,590,18100,australia vs usa,usa vs australia,yes
1,16500,9900,france vs azerbaijan,azerbaijan-vs-france,https://tabiji.ai/compare/azerbaijan-vs-france/,6600,9900,azerbaijan vs france,france vs azerbaijan,yes
1,16500,12100,usa vs brazil,brazil-vs-usa,https://tabiji.ai/compare/brazil-vs-usa/,4400,12100,brazil vs usa,usa vs brazil,yes
1,16400,14800,england vs senegal,england-vs-senegal,https://tabiji.ai/compare/england-vs-senegal/,14800,1600,england vs senegal,senegal vs england,yes
1,16400,14800,peru vs bolivia,peru-vs-bolivia,https://tabiji.ai/compare/peru-vs-bolivia/,14800,1600,peru vs bolivia,bolivia vs peru,yes
1,16200,8100,germany vs spain,germany-vs-spain,https://tabiji.ai/compare/germany-vs-spain/,8100,8100,germany vs spain,spain vs germany,yes
1,15300,9900,spain vs turkey,spain-vs-turkey,https://tabiji.ai/compare/spain-vs-turkey/,9900,5400,spain vs turkey,turkey vs spain,yes
1,14700,8100,sri lanka vs australia,australia-vs-sri-lanka,https://tabiji.ai/compare/australia-vs-sri-lanka/,6600,8100,australia vs sri lanka,sri lanka vs australia,yes
1,14700,8100,chile vs peru,chile-vs-peru,https://tabiji.ai/compare/chile-vs-peru/,8100,6600,chile vs peru,peru vs chile,yes
1,14700,8100,greece vs scotland,greece-vs-scotland,https://tabiji.ai/compare/greece-vs-scotland/,8100,6600,greece vs scotland,scotland vs greece,yes
1,14700,8100,poland vs netherlands,netherlands-vs-poland,https://tabiji.ai/compare/netherlands-vs-poland/,6600,8100,netherlands vs poland,poland vs netherlands,yes
1,14500,12100,usa vs sweden,sweden-vs-usa,https://tabiji.ai/compare/sweden-vs-usa/,2400,12100,sweden vs usa,usa vs sweden,yes
